Symbol,Close
HPQ,27.739999771118164
HUBB,481.07000732421875
HUM,287.9700012207031
HBAN,15.454999923706055
HII,325.135009765625
IBM,312.4961853027344
IEX,176.60000610351562
IDXX,632.032470703125
ITW,247.1649932861328
INCY,94.20999908447266
IR,81.0250015258789
PODD,315.2900085449219
INTC,41.0900993347168
IBKR,70.13500213623047
ICE,151.66000366210938
IFF,63.65999984741211
IP,39.61000061035156
IPG,26.139999389648438
INTU,662.5900268554688
ISRG,535.8099975585938
IVZ,23.959999084472656
INVH,28.354999542236328
IQV,218.5050048828125
IRM,103.05000305175781
JBHT,167.97000122070312
JBL,225.85499572753906
JKHY,151.02000427246094
J,160.3800048828125
JNJ,188.43499755859375
JCI,116.2249984741211
JPM,311.8999938964844
K,83.07009887695312
KVUE,14.114999771118164
